Sampling_Date,Year,co2_flux_sqrt,n2o_flux_quant
2013-02-10,2013,9.723124989543837,-0.7020308302291414
2013-03-09,2013,10.080929625408816,-0.44741022274918146
2013-05-07,2013,10.437569718557421,-0.017620897277446396
2013-06-05,2013,11.497165820999246,-0.2563052299634198
2013-06-08,2013,15.173986616410906,0.12141053610284447
2013-10-12,2013,16.420054065764923,0.9082255939263045
2013-11-06,2013,9.526574571761023,-0.06942053112640334
2013-11-14,2013,15.402135890511111,0.773524887211089
2014-03-04,2014,15.537992459283863,0.10492807618106882
2014-05-02,2014,13.54879734333782,-0.24382471257104166
2014-06-08,2014,8.282778377788858,-0.5338030030013972
2014-06-17,2014,15.303391136353625,0.13002367057894595
2014-07-07,2014,8.270292852030297,-0.22732086281778383
2014-09-05,2014,9.862769416688613,-0.4809122648845424
2014-09-09,2014,12.131819627107642,-0.11515277462411125
2014-10-01,2014,11.487971586855469,-0.48377110437937276
2014-10-03,2014,15.286244809559165,-0.1625942745469317
2014-10-16,2014,12.269690716432232,-0.4557796716053125
2014-11-18,2014,10.449894097214733,-0.59233153838175
2014-12-15,2014,16.25913911271256,0.43909439636351844
2015-06-02,2015,16.028954615374957,0.10451069120589167
2015-07-07,2015,10.071173502797166,0.49796554066665827
2015-07-08,2015,9.876987575661227,-0.5113937943088858
2015-07-10,2015,12.191829461787464,-0.2958674694366912
2015-08-05,2015,nan,nan
2015-09-01,2015,13.986047567154541,-0.33347641181166177
2015-09-03,2015,12.505898299210335,-0.5364837340362546
2015-09-04,2015,13.771496350023373,-0.1703778131664964
2015-09-06,2015,11.313286862430747,0.13394419183545117
2015-09-09,2015,11.343827029485364,-0.44839426390343523
2015-10-11,2015,14.72221055350761,0.16497413650784826
2015-11-30,2015,14.537058376287895,0.4096546206944134
2016-01-13,2016,16.002166283942056,1.5190569108551526
2016-02-18,2016,16.86929922866687,0.9059776713598896
2016-03-14,2016,16.231206053456646,0.27188987988489544
2016-04-20,2016,14.52074630173686,0.35075095679867657
2016-05-18,2016,9.835607395045338,-0.5813215388870692
2016-06-15,2016,10.47495662372194,0.6491033293430409
